Assemblage	Diversity	Observed	Estimator	s.e.	LCL	UCL
BOLD:AAB8399	Species richness	1	1	0	1	1
BOLD:AAB8399	Shannon diversity	1	1	0	1	1
BOLD:AAB8399	Simpson diversity	1	Inf	NA	NA	NA
BOLD:AAB8400	Species richness	1	1	0	1	1
BOLD:AAB8400	Shannon diversity	1	1	0	1	1
BOLD:AAB8400	Simpson diversity	1	1	0	1	1
BOLD:AAB8888	Species richness	1	1	0	1	1
BOLD:AAB8888	Shannon diversity	1	1	0	1	1
BOLD:AAB8888	Simpson diversity	1	1	0	1	1
BOLD:AAB8889	Species richness	1	1	0	1	1
