processid	bin_uri	order_name	lat	lon	country	hemisphere	lat_bin	lat_max	lat_mid	lat_min	lat_band	continent
DBNGF116-10	BOLD:AAZ4248	Anura	-5.75583	145.236	Papua New Guinea	Southern	8	0	-5	-10	8	Oceania
GBAP1879-13	BOLD:ACH2661	Anura	-19.0416	46.6849	Madagascar	Southern	9	-10	-15	-20	9	Africa
GBAP1883-13	BOLD:ACH2440	Anura	-19.0416	46.6849	Madagascar	Southern	9	-10	-15	-20	9	Africa
GBAP1917-13	BOLD:ACH3911	Anura	-19.0416	46.6849	Madagascar	Southern	9	-10	-15	-20	9	Africa
GBAP1952-13	BOLD:ACH2770	Anura	-19.0416	46.6849	Madagascar	Southern	9	-10	-15	-20	9	Africa
GBAP2363-13	BOLD:AAF4233	Anura	40.365	-3.65163	Spain	Northern	3	50	45	40	3	Europe
GBAP4289-13	BOLD:ACA3450	Anura	-21.98	-47.87	Brazil	Southern	10	-20	-25	-30	10	Americas
GBMNA14038-19	BOLD:AAH7757	Anura	29.36	103.29	China	Northern	5	30	25	20	5	Asia
GBMNB2377-20	BOLD:ACF9229	Anura	-22.9598	-43.277	Brazil	Southern	10	-20	-25	-30	10	Americas
GBMND828-21	BOLD:ACA3747	Anura	-27.841	-55.146	Argentina	Southern	10	-20	-25	-30	10	Americas
LDPJR069-17	BOLD:AAH7182	Anura	-28.6368	32.0642	South Africa	Southern	10	-20	-25	-30	10	Africa
MYARA150-17	BOLD:ACT1629	Anura	12.4342	99.1436	Myanmar	Northern	6	20	15	10	6	Asia
OBOJZ033-22	BOLD:ACH4056	Anura	48.873	20.524	Slovakia	Northern	3	50	45	40	3	Europe
WAMAL630-10	BOLD:AAT9366	Anura	-27.9755	120.299	Australia	Southern	10	-20	-25	-30	10	Oceania
WAMAM790-10	BOLD:AAM2358	Anura	-31.9	115.833	Australia	Southern	11	-30	-35	-40	11	Oceania
WAMID100-10	BOLD:AAT9081	Anura	-9.4333	119.35	Indonesia	Southern	8	0	-5	-10	8	Asia
ABR965-13	BOLD:ACC1403	Anura	9.034	-78.022	Panama	Northern	7	10	5	0	7	Americas
AMPSA254-13	BOLD:ABX1878	Anura	-17.874	19.832	Namibia	Southern	9	-10	-15	-20	9	Africa
ASCRA412-08	BOLD:AAC7099	Anura	44.869	-75.722	Canada	Northern	3	50	45	40	3	Americas
ASCRA427-08	BOLD:AAB9500	Anura	44.869	-75.722	Canada	Northern	3	50	45	40	3	Americas
BSAMP1156-09	BOLD:AAA7559	Anura	9.265	-79.508	Panama	Northern	7	10	5	0	7	Americas
DBABA628-12	BOLD:ACA3587	Anura	-24.34	-48.737	Brazil	Southern	10	-20	-25	-30	10	Americas
GBAP11782-19	BOLD:ACB7937	Anura	-8.52272	-74.1142	Peru	Southern	8	0	-5	-10	8	Americas
GBAP1940-13	BOLD:ACH3714	Anura	-19.0416	46.6849	Madagascar	Southern	9	-10	-15	-20	9	Africa
GBAP20424-19	BOLD:ADV5802	Anura	32.5332	-96.488	United States	Northern	4	40	35	30	4	Americas
GBAP20473-19	BOLD:AEB1655	Anura	31.4083	-95.1667	United States	Northern	4	40	35	30	4	Americas
GBAP4957-15	BOLD:ACB3504	Anura	38.0733	104.691	China	Northern	4	40	35	30	4	Asia
GBAP5025-15	BOLD:ACS5262	Anura	38.0733	104.691	China	Northern	4	40	35	30	4	Asia
GBAP5049-15	BOLD:ACS5262	Anura	38.0733	104.691	China	Northern	4	40	35	30	4	Asia
GBAP5268-15	BOLD:ACB3504	Anura	38.0733	104.691	China	Northern	4	40	35	30	4	Asia
GBMIN91952-17	BOLD:ADJ6216	Anura	38.0733	104.691	China	Northern	4	40	35	30	4	Asia
GBMND61602-21	BOLD:ACC3940	Anura	-7.79232	-71.014	Brazil	Southern	8	0	-5	-10	8	Americas
GBMND658-21	BOLD:ACA3497	Anura	-13.939	-39.103	Brazil	Southern	9	-10	-15	-20	9	Americas
GBMND726-21	BOLD:ACA3747	Anura	-13.121	-41.406	Brazil	Southern	9	-10	-15	-20	9	Americas
GBMND794-21	BOLD:ACA3747	Anura	-25.378	-49.085	Brazil	Southern	10	-20	-25	-30	10	Americas
GBMND995-21	BOLD:ABY6883	Anura	-16.1666	-40.6714	Brazil	Southern	9	-10	-15	-20	9	Americas
JSRAC622-07	BOLD:AAA3972	Anura	39.95	-87.4	United States	Northern	4	40	35	30	4	Americas
MYARA147-17	BOLD:ACT1629	Anura	12.4342	99.1436	Myanmar	Northern	6	20	15	10	6	Asia
MYARA231-17	BOLD:ADG1310	Anura	17.0403	96.0975	Myanmar	Northern	6	20	15	10	6	Asia
RNOCF376-17	BOLD:ACH3869	Anura	-21.264	47.4183	Madagascar	Southern	10	-20	-25	-30	10	Africa
RNOCF377-17	BOLD:ADH9627	Anura	-21.264	47.4183	Madagascar	Southern	10	-20	-25	-30	10	Africa
WAMAL619-10	BOLD:AAT9133	Anura	-35	117.867	Australia	Southern	11	-30	-35	-40	11	Oceania
AMPSA320-13	BOLD:ACM4426	Anura	-19.349	22.714	Botswana	Southern	9	-10	-15	-20	9	Africa
GBAP19338-19	BOLD:ACA4274	Anura	-11.5246	-54.3552	Brazil	Southern	9	-10	-15	-20	9	Americas
GBAP19883-19	BOLD:AEB0950	Anura	10.3	-84.78	Costa Rica	Northern	6	20	15	10	6	Americas
GBAP20491-19	BOLD:AAE6666	Anura	29.9968	-98.2192	United States	Northern	5	30	25	20	5	Americas
GBAP4362-13	BOLD:AAB5948	Anura	40.365	-3.65163	Spain	Northern	3	50	45	40	3	Europe
GBCOC3118-23	BOLD:ACB3869	Anura	35.4874	104.01	China	Northern	4	40	35	30	4	Asia
GBMIN91875-17	BOLD:ADK3682	Anura	38.0733	104.691	China	Northern	4	40	35	30	4	Asia
GBMIN92331-17	BOLD:ADH4831	Anura	8.72939	39.9149	Ethiopia	Northern	7	10	5	0	7	Africa
GBMIN92783-17	BOLD:ACD2618	Anura	38.0733	104.691	China	Northern	4	40	35	30	4	Asia
GBMIN92801-17	BOLD:ACD2618	Anura	38.0733	104.691	China	Northern	4	40	35	30	4	Asia
GBMND1065-21	BOLD:ABY6883	Anura	-23.7896	-64.785	Argentina	Southern	10	-20	-25	-30	10	Americas
GBMND61754-21	BOLD:ACF9126	Anura	-5.93879	-41.9209	Brazil	Southern	8	0	-5	-10	8	Americas
IMSAM383-09	BOLD:AAB5948	Anura	40.6476	-3.56136	Spain	Northern	3	50	45	40	3	Europe
LIN368-06	BOLD:ABY8911	Anura	0.97921	120.817	Indonesia	Northern	7	10	5	0	7	Asia
MLANF079-13	BOLD:ACJ4560	Anura	-37.1151	-56.9635	Argentina	Southern	11	-30	-35	-40	11	Americas
NPAMV040-08	BOLD:AAH8326	Anura	11.462	107.346	Vietnam	Northern	6	20	15	10	6	Asia
WAFRA189-14	BOLD:ACM4199	Anura	-3.194	10.532	Gabon	Southern	8	0	-5	-10	8	Africa
WAFRA535-14	BOLD:ACM4529	Anura	-2.5442	13.5327	Republic of the Congo	Southern	8	0	-5	-10	8	Africa
WAMAL460-10	BOLD:AAU1526	Anura	-25.0166	113.8	Australia	Southern	10	-20	-25	-30	10	Oceania
WAMAM233-10	BOLD:AAN2766	Anura	-18.293	125.593	Australia	Southern	9	-10	-15	-20	9	Oceania
